LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-83.9262739,42.0207698,836,STETSON ST,,,,,,,c13f4f76ebf3ce72
-83.9539874,42.0208981,916,N UNION ST,,,,,,,90b68989fc066815
-83.9577236,42.0207492,511,HICKORY RIDGE DR,,,,,,,1f69e5c0f497ba47
-83.9680894,42.0207854,1506,BRAMBLEWOOD DR,,,,,,,af21daeccd5963d9
-83.967541,42.0206382,1303,PARTRIDGE CT,,,,,,,12c09eb7fc87eb26
-83.9424846,42.0226423,916,RIVER ACRES DR,,,,,,,b58139b07ac6876e
-83.9686327,42.0208368,1508,BRAMBLEWOOD DR,,,,,,,aed106b0d93c3062
-83.929521,42.0176231,881,FEDORA DR,,,,,,,974e59238d229cba
-83.9538241,42.0207258,311,CREE CT,,,,,,,d6fe1ee70d25518d
-83.929205,42.0173378,883,FEDORA DR,,,,,,,58d75254a66ae5ce
-83.9690227,42.020659,1507,BRAMBLEWOOD DR,,,,,,,42a74ef55e6a0279
-83.9422054,42.0206493,903,RIVER ACRES DR,,,,,,,d2814aa3c0569d06
-83.9283308,42.0176842,805,DERBY DR,,,,,,,967c824b2d0e46a9
-83.9519703,42.0206207,300,CREE CT,,,,,,,8ebecf5c035c6873
-83.9580511,42.0205864,513,HICKORY RIDGE DR,,,,,,,b82794e70d107c1e
-83.927051,42.020595,835,STETSON ST,,,,,,,3425103a85c82c09
-83.9275205,42.0176678,804,DERBY DR,,,,,,,d11fac6de36f4f33
-83.9254364,42.0223687,5004,MACON RD,,,,,,,3502ea348113f3eb
-83.9275574,42.0205506,824,DERBY DR,,,,,,,3faed439efb70cef
-83.9440876,42.0225496,1002,RED MILL DR,,,,,,,191a5dea3d3a8e66
-83.9589088,42.0206948,922,CHESTNUT LANE,,,,,,,3eb06af52c5a24b8
-83.9368739,42.0176319,307,W CANEEL DR,,,,,,,78b9fb26c5177e46
-83.9433866,42.0225276,1001,RIVER ACRES DR,,,,,,,561e7e754be7615f
-83.9597108,42.0206815,921,CHESTNUT LANE,,,,,,,ee21a4a786cfcb07
-83.9413523,42.0205595,902,RIVER ACRES DR,,,,,,,2bc47cdc0c969b8a
-83.9294029,42.0222712,4510,MACON RD BLK,,,,,,,c86bef9c43d3163a
-83.9552839,42.0206558,918,RED OAK CT,,,,,,,a9687a0bdb129bca
-83.9422478,42.0223779,914,RIVER ACRES DR,,,,,,,921fc13e423ac8a5
-83.9336422,42.0221665,4500,MACON RD BLK,,,,,,,47ed54b628ac544e
-83.9583933,42.0204425,515,HICKORY RIDGE DR,,,,,,,1fb9073a56b3026d
-83.9353857,42.0177478,729,CLARK ST 65,,,,,,,220c76dda068c427
-83.944716,42.022137,1003,RED MILL DR,,,,,,,f06048415718aeb1
-83.9547272,42.0205822,919,N UNION ST,,,,,,,b076bbfb1c309086
-83.9345992,42.0221416,941,MACON RD & 943,,,,,,,46745b31b576d534
-83.9596413,42.0203359,605,HICKORY RIDGE DR,,,,,,,e7475522f8dac945
-83.9438342,42.0222867,1000,RED MILL DR,,,,,,,d69c736c89870f45
-83.9262651,42.0204944,834,STETSON ST,,,,,,,77599b5668bc1121
-83.9536947,42.020303,912,N UNION ST,,,,,,,443d679416e02e4e
-83.9413025,42.0202465,900,RIVER ACRES DR,,,,,,,23a89ec6105ed6d3
-83.9262551,42.0202065,832,STETSON ST,,,,,,,18dec03eb11851b8
-83.9658788,42.0204961,913,N OCCIDENTAL RD,,,,,,,b822953791f984e9
-83.9574406,42.0202303,510,HICKORY RIDGE DR,,,,,,,d2f8a672c34ee93e
-83.9689391,42.0202816,1505,BRAMBLEWOOD DR,,,,,,,755cc92d1928e74e
-83.9601219,42.0204049,607,HICKORY RIDGE DR,,,,,,,c2a24384a5991479
-83.9349793,42.0221339,937,MACON RD & 939,,,,,,,a7110d7ddce90394
-83.9425377,42.0175853,710,RED MILL DR,,,,,,,c5d6aad72b1d6726
-83.9674271,42.0202651,1305,PARTRIDGE CT,,,,,,,ee4242a6e45f93ab
-83.960504,42.0204051,609,HICKORY RIDGE DR,,,,,,,6b46337db4a45758
-83.9353593,42.0221239,933,MACON RD & 935,,,,,,,bea6004020ebdd1c
-83.9553095,42.0201998,914,RED OAK CT,,,,,,,a29ba3a1b0949be4
-83.9665593,42.0201871,1306,PARTRIDGE CT,,,,,,,3304c028ddbab91d
-83.9609107,42.0204345,611,HICKORY RIDGE DR,,,,,,,edc9d876989f0f41
-83.9544084,42.020045,909,N UNION ST,,,,,,,33e10c3e7fd347c8
-83.9357393,42.0221139,929,MACON RD & 931,,,,,,,2a26ac9cb662aa42
-83.9658668,42.0201064,911,N OCCIDENTAL RD,,,,,,,e0a9d9b860e7b7d1
-83.9431005,42.0222305,915,RIVER ACRES DR,,,,,,,4d31cc461c1024fe
-83.9665368,42.0204881,1304,PARTRIDGE CT,,,,,,,8a3c18d0092d3f60
-83.9270311,42.0200189,831,STETSON ST,,,,,,,972f299d0d51d6be
-83.9361599,42.0221041,911,MACON RD,,,,,,,9501e2c2215c5ffb
-83.9562881,42.0201243,913,RED OAK CT,,,,,,,64aeb8a1bda1e4ce
-83.9613933,42.0203818,613,HICKORY RIDGE DR,,,,,,,cc8fc4f90dacfb7d
-83.9370534,42.0220821,909,MACON RD BLK,,,,,,,09b289954c692b4e
-83.9275998,42.020008,820,DERBY DR,,,,,,,afb7f37ea06b970a
-83.9569747,42.0195393,900,N UNION ST BLK,,,,,,,413df6c32b772c88
-83.9680265,42.0204206,1504,BRAMBLEWOOD DR,,,,,,,c69289f42a7f83e5
-83.9520641,42.0200875,916,PONTIAC TRAIL,,,,,,,4edc7ef1a7d31290
-83.9380849,42.0220564,907,MACON RD,,,,,,,98a65b0872642076
-83.9577021,42.020002,512,HICKORY RIDGE DR,,,,,,,da7d5a81502cf255
-83.9545751,42.0203299,917,N UNION ST,,,,,,,7c078cb366edf21d
-83.953474,42.0200836,910,N UNION ST,,,,,,,990f3b62ea84b990
-83.9393024,42.0220264,900,N EVANS ST,,,,,,,c456f438391d9663
-83.9284129,42.0202828,823,DERBY DR,,,,,,,1b60804a6f057615
-83.9312028,42.0176476,706,ILLINOIS CT,,,,,,,1b535c919b18bff5
-83.9406292,42.0220282,900,N EVANS ST,,,,,,,6c939bdd7eaa72e4
-83.9526288,42.0200839,919,PONTIAC TRAIL,,,,,,,be87b64216d55c79
-83.9426899,42.0202976,900,RED MILL DR,,,,,,,e78c8e29417b8818
-83.9680814,42.0201217,1502,BRAMBLEWOOD DR,,,,,,,3910fe2168ac8cde
-83.9521087,42.020351,302,CREE CT,,,,,,,36579cccadf9813e
-83.942037,42.0221045,912,RIVER ACRES DR,,,,,,,07ed361410369d6f
-83.9283861,42.0199643,821,DERBY DR,,,,,,,ba047aeeb144394c
-83.931013,42.0175268,705,ILLINOIS CT,,,,,,,851f6324301df86a
-83.9421332,42.0202985,901,RIVER ACRES DR,,,,,,,300f3f97c73fe9df
-83.943691,42.0197846,811,RED MILL DR,,,,,,,8d7f991c7fa32d65
-83.9432129,42.0219607,916,RED MILL DR,,,,,,,96f036a30294aea1
-83.952581,42.0203658,304,CREE CT,,,,,,,98c8ea401ed31e2d
-83.9418515,42.0218217,910,RIVER ACRES DR,,,,,,,7209516884776125
-83.9262462,42.0199184,830,STETSON ST,,,,,,,2696961582da210a
-83.9586923,42.017207,807,CONKLIN DR,,,,,,,d4224bbef6056538
-83.9561556,42.0204018,504,HICKORY RIDGE DR,,,,,,,b5aae8a6a041d743
-83.9421032,42.0199391,813,RIVER ACRES DR,,,,,,,3e68c3ebcc07de6b
-83.9552933,42.0218883,401,RED MAPLE DR,,,,,,,826d6eac3659490b
-83.9528834,42.0203494,306,CREE CT,,,,,,,b2714e6950367d2e
-83.9614577,42.0199232,612,HICKORY RIDGE DR,,,,,,,f7cc112c8fc4d890
-83.9270405,42.0202933,833,STETSON ST,,,,,,,df0f0df19d02b02d
-83.9412834,42.0199343,812,RIVER ACRES DR,,,,,,,04da5a4bad32bfde
-83.9557385,42.0218794,405,RED MAPLE DR,,,,,,,72baf4ec6ce3f7a0
-83.9426547,42.0199202,812,RED MILL DR,,,,,,,990753dad9d467ad
-83.9561057,42.0218742,501,RED MAPLE DR,,,,,,,d6f28ce41d7cc308
-83.9531495,42.020317,308,CREE CT,,,,,,,0f5c81849ca8c058
-83.9674665,42.019991,1307,PARTRIDGE CT,,,,,,,254dcab4115e989a
-83.9303006,42.017629,880,FEDORA DR,,,,,,,a38b9ed3c3b9f24c
-83.9566491,42.0203787,506,HICKORY RIDGE DR,,,,,,,d26b33f0aaf4be00
-83.9564737,42.0218693,503,RED MAPLE DR,,,,,,,481bfe371294f105
-83.9553537,42.020416,916,RED OAK CT,,,,,,,96607a0e1da3975b
-83.9528846,42.0199059,917,PONTIAC TRAIL,,,,,,,09d076512c877103
-83.9534276,42.0203691,310,CREE CT,,,,,,,00bbf3dd5d153458
-83.9442128,42.0214805,915,RED MILL DR,,,,,,,38d82340989cad59
-83.968919,42.0199888,1503,BRAMBLEWOOD DR,,,,,,,62e65995b451be92
-83.9551827,42.0199325,912,RED OAK CT,,,,,,,22e6db624b355c86
-83.9570855,42.0203727,508,HICKORY RIDGE DR,,,,,,,be3d34c1f9c1f0dd
-83.9261679,42.0176226,814,STETSON ST,,,,,,,26b7d9dc0f1ff802
-83.9568416,42.0218645,505,RED MAPLE DR,,,,,,,0ae06479ac9283af
-83.9579885,42.0198155,514,HICKORY RIDGE DR,,,,,,,90da32b328ecd9f3
-83.9249742,42.0213432,5035,MACON RD,,,,,,,97906ec958caf538
-83.9588681,42.0203499,517,HICKORY RIDGE DR,,,,,,,3664280c6b7604c8
-83.9315456,42.0176349,707,ILLINOIS CT,,,,,,,5145f8bde18a0edc
-83.9328882,42.0170342,505,ILLINOIS DR,,,,,,,86799fca1a254257
-83.9519114,42.0198415,914,PONTIAC TRAIL,,,,,,,d2851f560418d9bc
-83.9572134,42.0218631,507,RED MAPLE DR,,,,,,,489d711714a96ee1
-83.9276138,42.0202753,822,DERBY DR,,,,,,,8efc8f860b57a132
-83.9361453,42.0170437,707,ILLINOIS DR,,,,,,,9720b62f1cf2aa97
-83.9254342,42.0212205,5035,MACON RD,,,,,,,27bf4f610c182fec
-83.9377829,42.0170024,804,W CANEEL CT,,,,,,,1821c80c92d9bf30
-83.9575831,42.0218441,509,RED MAPLE DR,,,,,,,81cc92c97f56984d
-83.9533534,42.019888,908,N UNION ST,,,,,,,d4e7e4d7cce62d15
-83.9579543,42.0218104,511,RED MAPLE DR,,,,,,,ca5cb702557010a9
-83.9392046,42.0167902,111,BURT ST,,,,,,,0fd62d185edbc812
-83.9257872,42.0215865,5031,MACON RD,,,,,,,ebf66e8652aa8905
-83.9305368,42.0170232,884,FEDORA DR,,,,,,,9346d45f3d0901e1
-83.9562845,42.0198459,911,RED OAK CT,,,,,,,ab8a980dcd1a1340
-83.9350735,42.0171259,729,CLARK ST 73,,,,,,,182a10b87d8fdaf8
-83.9583199,42.0217544,513,RED MAPLE DR,,,,,,,e3189a3ef8e32827
-83.9586809,42.0217241,515,RED MAPLE DR,,,,,,,0a7705bd73d2b816
-83.9399423,42.0171071,710,N EVANS ST,,,,,,,5efd82be3e591e98
-83.954124,42.0198387,907,N UNION ST,,,,,,,c7383c5359cec07c
-83.9590431,42.0217041,517,RED MAPLE DR,,,,,,,3072e143ea043663
-83.9349595,42.017119,729,CLARK ST 74,,,,,,,25a52d9f9258a21c
-83.9594198,42.0217044,601,RED MAPLE DR,,,,,,,45b8b050451bd69b
-83.9348712,42.0171137,729,CLARK ST 75,,,,,,,c2885dd20edcb4d9
-83.9598061,42.0216993,603,RED MAPLE DR,,,,,,,880d57b3e35bed28
-83.9513098,42.0169892,736,N UNION ST,,,,,,,7362fc3ac39a1765
-83.9676981,42.019805,1311,PARTRIDGE CT,,,,,,,7fe884ae59373e9c
-83.934781,42.0171083,729,CLARK ST 76,,,,,,,468dea167ec864c2
-83.9601922,42.0216946,605,RED MAPLE DR,,,,,,,99c26e605022cc6c
-83.93175,42.0175231,708,ILLINOIS CT,,,,,,,6423a3072ce6f7d4
-83.9605774,42.0216979,607,RED MAPLE DR,,,,,,,34c41d72717a8764
-83.9256503,42.0170253,807,WOODSTOCK LN,,,,,,,e6f45b7bd3da2cc4
-83.9432889,42.0216782,912,RED MILL DR,,,,,,,a37b1487cab20cbe
-83.9346927,42.0171028,729,CLARK ST 77,,,,,,,a6413e0b77ac25ed
-83.961033,42.0217381,609,RED MAPLE DR,,,,,,,db00d89a677e1ee9
-83.9402756,42.0197491,824,N EVANS ST,,,,,,,d75ca4be865f07da
-83.953032,42.0170639,718,WENONAH ST,,,,,,,12c03213d3f3a1ce
-83.9614707,42.0215826,611,RED MAPLE DR,,,,,,,2547f9dd1f7ae67e
-83.9345806,42.0170961,729,CLARK ST 78,,,,,,,06b6655fe8916f99
-83.963566,42.0215622,900,N OCCIDENTAL RD BLK,,,,,,,386cd6e3b3984f0c
-83.934336,42.0170816,729,CLARK ST 83,,,,,,,c12927ab39fb5e19
-83.926473,42.0216411,842,STETSON ST,,,,,,,b5bdc8ffc99aba81
-83.9342238,42.0170756,729,CLARK ST 84,,,,,,,0219843c6bf25c5f
-83.9426277,42.0216178,909,RIVER ACRES DR,,,,,,,204ece591d19473d
-83.9665507,42.0198372,1308,PARTRIDGE CT,,,,,,,35b40a9cd61fef74
-83.9341345,42.0170713,729,CLARK ST 85,,,,,,,39ce29183c96efc6
-83.9275723,42.0216034,841,STETSON ST,,,,,,,8e4673524b846a79
-83.9296793,42.0168788,885,FEDORA DR,,,,,,,37eeab17328f2fba
-83.9283276,42.021473,974,MACON RD,,,,,,,933bbf53b371fce6
-83.929156,42.0168989,891,FEDORA DR,,,,,,,d6d223318f280265
-83.9584366,42.0197956,516,HICKORY RIDGE DR,,,,,,,c1838b1b37aafc7e
-83.966558,42.0214348,921,N OCCIDENTAL RD,,,,,,,381cc75bc9fb380f
-83.9340251,42.0170649,729,CLARK ST 86,,,,,,,3b44372367ba8f26
-83.9289672,42.0208857,4651,MACON RD,,,,,,,9125461762f997e4
-83.9292402,42.0193508,966,MACON RD,,,,,,,f4400f1d588ebc0d
-83.9412655,42.0169588,706,RIVER ACRES DR,,,,,,,9a508d353b14fb0d
-83.927022,42.0197445,829,STETSON ST,,,,,,,765763bd0653e5e1
-83.9287314,42.0168401,893,FEDORA DR,,,,,,,29f4c942d1b9fba6
-83.9296257,42.0214537,964,MACON RD,,,,,,,39783b1ca7b88497
-83.9588318,42.019797,518,HICKORY RIDGE DR,,,,,,,c77f72f25ea1eed0
-83.9302181,42.0193863,958,MACON RD,,,,,,,50fa0ed10299b314
-83.9524818,42.0170155,743,N UNION ST,,,,,,,ce0a9f94a8da30b8
-83.9375411,42.0168141,702,W CANEEL CT,,,,,,,b9e76f737e09f450
-83.9416842,42.0215165,908,RIVER ACRES DR,,,,,,,3b4de08987231933
-83.9302692,42.021396,4601,MACON RD,,,,,,,28b6b01e82fb2da6
-83.9283079,42.0167398,705,DERBY DR,,,,,,,299f6a5c8d2b43d6
-83.9591998,42.0197917,602,HICKORY RIDGE DR,,,,,,,b3e7fb17d96eab80
-83.955767,42.0169344,803,TERNES RD,,,,,,,387572be543b313d
-83.9275906,42.0197336,818,DERBY DR,,,,,,,3e851fee1ef7a766
-83.9261338,42.0167494,808,STETSON ST,,,,,,,57d90bd784d1d66d
-83.9595679,42.0197864,604,HICKORY RIDGE DR,,,,,,,0f6e2f0cd6fb08d2
-83.9358888,42.0168721,705,ILLINOIS DR,,,,,,,d8aab0f4d0c2d875
-83.9601017,42.0197786,606,HICKORY RIDGE DR,,,,,,,dfca2df0e23b18dd
-83.9606889,42.0197634,608,HICKORY RIDGE DR,,,,,,,e5405b8d9fccdab3
-83.9681118,42.0197844,1500,BRAMBLEWOOD DR,,,,,,,ca1e3735599e8657
-83.9512284,42.0168186,730,N UNION ST,,,,,,,540b3cd1a0327b1f
-83.9399361,42.0169175,708,N EVANS ST,,,,,,,5e58aa0b530f244f
-83.9283776,42.0196764,819,DERBY DR,,,,,,,deecd8274dc19fd7
-83.9305988,42.0173843,882,FEDORA DR,,,,,,,1bedda33075d70da
-83.9536021,42.0168685,715,WENONAH ST,,,,,,,ee847b1f4d898db5
-83.9249816,42.0168456,804,WOODSTOCK LN,,,,,,,ef8f60e84bf1fdbe
-83.9539519,42.0168459,720,SENECA ST,,,,,,,aa47f47a826559b4
-83.9611951,42.0197041,610,HICKORY RIDGE DR,,,,,,,8e6f0f30cff32dbb
-83.9555359,42.0197045,910,RED OAK CT,,,,,,,f212fac9a76e1e0e
-83.9544622,42.0195605,618,NOKOMIS DR,,,,,,,769815abcec1201a
-83.9262371,42.0196304,828,STETSON ST,,,,,,,9364d46ea26665be
-83.9365364,42.017612,801,ILLINOIS DR,,,,,,,7e0294527665d279
-83.9656382,42.0168087,2054,CONKLIN DR,,,,,,,cb536986463cd63e
-83.9658552,42.0197637,909,N OCCIDENTAL RD,,,,,,,3986320abdddd289
-83.9367893,42.0166332,125,BURT ST,,,,,,,dd8a3f29b193954e
-83.953237,42.0196866,906,N UNION ST,,,,,,,d7af5832581c6d1c
-83.9544841,42.0168881,721,SENECA ST,,,,,,,9e1cdcb0fc8ec652
-83.9548016,42.016883,510,NOKOMIS ST,,,,,,,324a121d5c0a4087
-83.9559572,42.0192824,900,RED OAK CT BLK,,,,,,,ccbb4fca4c6e044e
-83.9358216,42.017576,710,ILLINOIS DR,,,,,,,4c64fe9afa0ea3c5
-83.9412737,42.0196249,810,RIVER ACRES DR,,,,,,,4f73747765082565
-83.9337888,42.0176734,729,CLARK ST 27,,,,,,,52a163004fae3360
-83.9420926,42.0196092,811,RIVER ACRES DR,,,,,,,f77e83adaa51796c
-83.9426447,42.0195986,810,RED MILL DR,,,,,,,a828eb68fd80e89d
-83.9353236,42.0176761,729,CLARK ST 66,,,,,,,51c428f1ca09234c
-83.9661296,42.0168013,2056,CONKLIN DR,,,,,,,a5ab21dd9e8b3903
-83.9518629,42.0195928,912,PONTIAC TRAIL,,,,,,,1949fff72cd2094c
-83.9551194,42.0168747,512,NOKOMIS ST,,,,,,,429e135222791d78
-83.9689061,42.0196871,1501,BRAMBLEWOOD DR,,,,,,,f25075f228a2304e
-83.9529298,42.0168754,716,WENONAH ST,,,,,,,55ccf58f719f6782
-83.9256421,42.0168058,805,WOODSTOCK LN,,,,,,,f99229af08f47fd9
-83.9527082,42.0196385,915,PONTIAC TRAIL,,,,,,,061799a00e09ea74
-83.9548507,42.0194337,616,NOKOMIS DR,,,,,,,aa00375dcc3f43ce
-83.9523872,42.0168484,739,N UNION ST,,,,,,,2875de56c789783f
-83.9667608,42.0195452,1310,PARTRIDGE CT,,,,,,,abd7007977fc7e09
-83.9305345,42.0166991,886,FEDORA DR,,,,,,,d4ef70d665f8c075
-83.9539573,42.0195528,620,NOKOMIS DR,,,,,,,f453c157bfc6fda6
-83.9270129,42.0194702,827,STETSON ST,,,,,,,83b7babc055f4ab7
-83.9275816,42.0194593,816,DERBY DR,,,,,,,7a22a7f2d6346ebb
-83.9531187,42.0194852,904,N UNION ST,,,,,,,ee9239ab418f3453
